"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"[CF]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.424077517838502,0.506957334499305,0.610440754147611,0.578511668740638,0.499219867461033,0.458580655182282,0.511304692881905
"[TOK]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.424077517838502,0.506957334499305,0.610440754147611,0.578511668740638,0.499219867461033,0.458580655182282,0.511304692881905
"[LC]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.424077517838502,0.506957334499305,0.610440754147611,0.578511668740638,0.499219867461033,0.458580655182282,0.511304692881905
"[CF]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.370507523590109,0.437991907653583,0.615437895133032,0.597899957911802,0.529527030222398,0.51162009834691,0.509465016027381
"[TOK]  WBSM_AncSPLCaiStrategy1_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.429089932114822,0.509282688688897,0.598325931892313,0.565450450102182,0.499219867461033,0.458580655182282,0.508407215326335
"[CF]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.426443111469642,0.506306717264911,0.612202341322643,0.5754900637704,0.47250817635202,0.438808569502523,0.503756657788895
"[CF]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.417715475271492,0.477354250334396,0.604210506544718,0.564879127529344,0.490451751014955,0.471420923285355,0.503393089998901
"[LC]  WBSM_AncSPLWeightedJiangConrath_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.400288321779265,0.454829640710343,0.582328435777523,0.561383560849835,0.525764000614038,0.499803177067416,0.503312940519569
"WBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.40663915002259,0.448564437712479,0.637414237794298,0.604089632922173,0.482651259240194,0.442823973947789,0.502919818261364
"[SW]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.410806068013677,0.475685537612849,0.601301692371545,0.56873416357735,0.491398174393518,0.472415016427181,0.502385322833303
"[CF]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.410806068013677,0.475685537612849,0.601301692371545,0.56873416357735,0.491398174393518,0.472415016427181,0.502385322833303
"[TOK]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.410806068013677,0.475685537612849,0.601301692371545,0.56873416357735,0.491398174393518,0.472415016427181,0.502385322833303
"[LC]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.410806068013677,0.475685537612849,0.601301692371545,0.56873416357735,0.491398174393518,0.472415016427181,0.502385322833303
"[TOK]  WBSM_WuPalmerFast_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.415639618978994,0.47968562875764,0.581790988884119,0.554939425690827,0.491398174393518,0.472415016427181,0.498379871346926
"[CF]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.411452350496442,0.466317854284312,0.6032316563615,0.565526902458693,0.464301756713768,0.453848039979477,0.493318960860882
"WBSM_WuPalmerFast_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.384735252702863,0.403226055249088,0.623080004243333,0.597059559568036,0.477047397357327,0.448936122087288,0.48870702623153
"[CF]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.33902808946311,0.422045761177288,0.597968876656993,0.591512740114617,0.491450655595421,0.458383056300103,0.481691230013455
"[SW]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.37251809174142,0.393159560816942,0.613307420963449,0.574001272591024,0.487565769531033,0.444710921297979,0.480239231000498
"[SW]  WBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.377223443739762,0.390611309982234,0.613947773523716,0.576470499880764,0.482456007228224,0.442956926282095,0.480094454972551
"[LC]  WBSM_AncSPLCaiStrategy1_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.365896445096798,0.441769102153257,0.560874504168744,0.54929397454676,0.482642829740496,0.463744953769167,0.476099353121841
"[SW]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.367010473722602,0.386249764818336,0.596647432488698,0.561822862998867,0.482876311470957,0.4578939380794,0.475049852995579
"[CF]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.33280618764317,0.378906223996801,0.589647678830298,0.579713049198606,0.488223748007584,0.475409493314523,0.473577586692324
"[SW]  WBSM_WuPalmerFast_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.360223384660993,0.379659253203275,0.597845164152192,0.565393733420239,0.482304780609723,0.455556904386469,0.473134083038487
"[LC]  WBSM_WuPalmerFast_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.35200279632487,0.408581598965531,0.551620902086839,0.538032347517266,0.48430827825045,0.473444398721054,0.467248136310899
