"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.biosses_ner.none",0.716,0.755,0.711,0.698,0.74,0.769,0.731
"Qgram_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.715,0.752,0.711,0.698,0.741,0.771,0.731
"Qgram_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.none_ner.none",0.744,0.764,0.693,0.662,0.76,0.764,0.731
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.715,0.752,0.711,0.698,0.741,0.771,0.731
"Qgram_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.default_ner.none",0.741,0.765,0.695,0.665,0.759,0.761,0.731
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.default_ner.none",0.777,0.79,0.696,0.564,0.78,0.79,0.73
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.777,0.791,0.695,0.564,0.779,0.79,0.73
"BlockDistance_tok.whitespace_lc_sw.biosses2017stopwords_cf.none_ner.none",0.706,0.743,0.692,0.648,0.795,0.8,0.73
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.776,0.79,0.695,0.564,0.779,0.79,0.73
"Qgram_tok.whitespace_lc_sw.biosses2017stopwords_cf.none_ner.none",0.726,0.749,0.705,0.676,0.76,0.764,0.73
"Qgram_tok.whitespace_lc_sw.nltk2018stopwords_cf.none_ner.none",0.729,0.752,0.703,0.675,0.757,0.764,0.73
"Qgram_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.749,0.77,0.685,0.657,0.753,0.764,0.73
"OverlapCoefficient_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.none_ner.none",0.777,0.79,0.693,0.559,0.779,0.792,0.729
"Qgram_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.72,0.75,0.71,0.697,0.735,0.762,0.729
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.none_ner.none",0.733,0.752,0.7,0.673,0.753,0.762,0.729
"Qgram_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.726,0.76,0.691,0.679,0.742,0.772,0.728
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.713,0.748,0.711,0.697,0.734,0.761,0.727
"OverlapCoefficient_tok.whitespace_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.776,0.798,0.686,0.556,0.774,0.785,0.727
"Jaccard_tok.whitespace_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.762,0.796,0.705,0.68,0.705,0.712,0.726
"BlockDistance_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.768,0.775,0.711,0.662,0.729,0.711,0.726
"Qgram_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.none_ner.none",0.736,0.754,0.685,0.658,0.757,0.764,0.726
"Qgram_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.715,0.752,0.692,0.68,0.741,0.771,0.725
"OverlapCoefficient_tok.whitespace_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.771,0.794,0.687,0.557,0.773,0.782,0.725
"OverlapCoefficient_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.77,0.789,0.685,0.555,0.778,0.786,0.725
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.709,0.739,0.708,0.676,0.757,0.76,0.724
"Qgram_tok.whitespace_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.709,0.74,0.707,0.675,0.756,0.76,0.724
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.708,0.74,0.708,0.674,0.755,0.76,0.724
"Qgram_tok.whitespace_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.712,0.745,0.699,0.669,0.758,0.761,0.724
"Qgram_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.723,0.755,0.691,0.678,0.735,0.762,0.724
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.706,0.737,0.709,0.677,0.755,0.759,0.724
"Qgram_tok.whitespace_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.706,0.738,0.708,0.676,0.755,0.759,0.723
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.711,0.742,0.7,0.67,0.756,0.761,0.723
"OverlapCoefficient_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.765,0.785,0.686,0.556,0.776,0.783,0.723
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.776,0.796,0.673,0.546,0.774,0.785,0.723
"Qgram_tok.whitespace_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.71,0.743,0.7,0.669,0.757,0.759,0.723
"Qgram_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.7,0.733,0.706,0.694,0.737,0.767,0.722
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.709,0.74,0.7,0.671,0.756,0.76,0.722
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.709,0.74,0.7,0.671,0.755,0.76,0.722
"Qgram_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.none_ner.none",0.704,0.733,0.704,0.691,0.734,0.767,0.722
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0.77,0.788,0.674,0.547,0.778,0.786,0.721
"Jaccard_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.753,0.778,0.711,0.682,0.69,0.715,0.721
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.771,0.793,0.673,0.547,0.773,0.783,0.721
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.771,0.793,0.673,0.547,0.773,0.782,0.721
"Qgram_tok.whitespace_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.702,0.736,0.7,0.669,0.757,0.76,0.721
"Qgram_tok.whitespace_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.705,0.737,0.699,0.669,0.75,0.76,0.72
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.default_ner.none",0.765,0.784,0.674,0.547,0.776,0.783,0.719
"Qgram_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.709,0.741,0.692,0.659,0.756,0.76,0.719
"OverlapCoefficient_tok.whitespace_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.752,0.774,0.687,0.559,0.773,0.783,0.719
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.706,0.735,0.699,0.67,0.748,0.758,0.719
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.703,0.731,0.699,0.669,0.75,0.762,0.719
"Qgram_tok.biocnlptokenizer_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.713,0.745,0.683,0.652,0.758,0.761,0.719
"Qgram_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.71,0.739,0.691,0.657,0.755,0.76,0.719
"Qgram_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.707,0.739,0.693,0.66,0.755,0.759,0.718
"Qgram_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.none_ner.none",0.71,0.739,0.685,0.674,0.737,0.767,0.718
"OverlapCoefficient_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.none_ner.none",0.763,0.781,0.672,0.545,0.777,0.784,0.718
"Qgram_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.711,0.743,0.684,0.653,0.757,0.76,0.718
"BlockDistance_tok.whitespace_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.718,0.746,0.695,0.648,0.755,0.746,0.718
"Qgram_tok.whitespace_notlc_sw.nltk2018stopwords_cf.none_ner.none",0.697,0.723,0.702,0.671,0.752,0.762,0.718
"Jaccard_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.761,0.782,0.688,0.658,0.705,0.712,0.718
"Qgram_tok.biocnlptokenizer_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.711,0.743,0.684,0.653,0.757,0.759,0.718
"Qgram_tok.whitespace_notlc_sw.biosses2017stopwords_cf.none_ner.none",0.694,0.721,0.704,0.672,0.755,0.76,0.718
"BlockDistance_tok.whitespace_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.718,0.746,0.695,0.647,0.755,0.745,0.717
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.default_ner.none",0.712,0.728,0.703,0.654,0.755,0.751,0.717
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.nltk2018stopwords_cf.biosses_ner.none",0.712,0.728,0.702,0.653,0.754,0.751,0.716
"BlockDistance_tok.whitespace_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.712,0.741,0.697,0.65,0.753,0.744,0.716
"Qgram_tok.whitespace_notlc_sw.nonestopwords_cf.biosses_ner.none",0.686,0.724,0.702,0.688,0.733,0.763,0.716
"BlockDistance_tok.whitespace_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.712,0.741,0.697,0.649,0.754,0.743,0.716
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.default_ner.none",0.706,0.723,0.704,0.656,0.755,0.75,0.715
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.biosses_ner.none",0.685,0.724,0.703,0.689,0.732,0.76,0.715
"Jaccard_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.731,0.78,0.691,0.681,0.682,0.728,0.715
"Qgram_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.683,0.722,0.702,0.689,0.732,0.762,0.715
"Qgram_tok.stanfordcorenlpv4_2_0_notlc_sw.nonestopwords_cf.default_ner.none",0.683,0.722,0.702,0.689,0.732,0.762,0.715
"BlockDistance_tok.stanfordcorenlpv4_2_0_notlc_sw.biosses2017stopwords_cf.biosses_ner.none",0.706,0.723,0.704,0.655,0.753,0.75,0.715
