"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"X.CF...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.blagec2019_ner.ctakes",0.693,0.759,0.724,0.732,0.686,0.709,0.67,0.672,0.671,0.701
"X.CF...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.blagec2019_ner.ctakes",0.693,0.759,0.724,0.732,0.686,0.709,0.67,0.672,0.671,0.701
"X.CF...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.blagec2019_ner.ctakes",0.693,0.759,0.724,0.732,0.686,0.709,0.67,0.672,0.671,0.701
"X.CF...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.blagec2019_ner.ctakes",0.693,0.759,0.724,0.732,0.686,0.709,0.67,0.672,0.671,0.701
"X.LC...UBSM_AncSPLRada_tok.whitespace_notlc_sw.user_cf.default_ner.ctakes",0.67,0.73,0.699,0.698,0.656,0.677,0.7,0.693,0.697,0.691
"X.CF...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.none_ner.ctakes",0.632,0.683,0.657,0.702,0.658,0.679,0.674,0.678,0.676,0.671
"X.CF...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.none_ner.ctakes",0.632,0.683,0.657,0.702,0.658,0.679,0.674,0.678,0.676,0.671
"X.CF...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.none_ner.ctakes",0.632,0.683,0.657,0.702,0.658,0.679,0.674,0.678,0.676,0.671
"X.CF...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.none_ner.ctakes",0.632,0.683,0.657,0.702,0.658,0.679,0.674,0.678,0.676,0.671
"X.CF...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.none_ner.ctakes",0.632,0.683,0.657,0.702,0.658,0.679,0.674,0.678,0.676,0.671
"X.NER...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.metamapsnomedct",0.649,0.701,0.674,0.672,0.644,0.657,0.646,0.644,0.645,0.659
"X.NER...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.metamapsnomedct",0.649,0.701,0.674,0.672,0.644,0.657,0.646,0.644,0.645,0.659
"X.NER...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.metamapsnomedct",0.649,0.701,0.674,0.672,0.644,0.657,0.646,0.644,0.645,0.659
"X.NER...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.metamapsnomedct",0.649,0.701,0.674,0.672,0.644,0.657,0.646,0.644,0.645,0.659
"X.NER...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.metamapsnomedct",0.649,0.701,0.674,0.672,0.644,0.657,0.646,0.644,0.645,0.659
"X.NER...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.metamaplite",0.578,0.619,0.598,0.707,0.654,0.68,0.679,0.679,0.679,0.652
"X.LC...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_notlc_sw.user_cf.default_ner.ctakes",0.596,0.659,0.626,0.633,0.581,0.606,0.66,0.65,0.655,0.629
"X.NER...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.metamaplite",0.527,0.573,0.549,0.689,0.639,0.663,0.643,0.636,0.64,0.617
"X.LC...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_notlc_sw.user_cf.default_ner.ctakes",0.534,0.592,0.562,0.599,0.542,0.569,0.621,0.609,0.615,0.582
"X.LC...UBSM_AncSPLCaiStrategy1_tok.whitespace_notlc_sw.user_cf.default_ner.ctakes",0.478,0.527,0.501,0.577,0.515,0.544,0.583,0.573,0.578,0.541
"X.LC...UBSM_JiangConrath_tok.whitespace_notlc_sw.user_cf.default_ner.ctakes",0.469,0.519,0.493,0.575,0.507,0.539,0.561,0.556,0.558,0.53
"X.NER...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.metamaplite",0.375,0.428,0.4,0.646,0.598,0.621,0.536,0.523,0.53,0.517
"X.NER...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.metamaplite",0.361,0.422,0.389,0.642,0.599,0.62,0.527,0.514,0.52,0.51
"X.NER...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.metamaplite",0.341,0.374,0.357,0.672,0.626,0.648,0.511,0.505,0.508,0.504
