"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"LiMixed_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.default_ner.none",0.799188405432985,0.816397971116293,0.807701528319063,0.760320533859354,0.699129890362247,0.728442436488742,0.795402907500092,0.798304148912645,0.796850887444473,0.777664950750759
"LiMixed_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.none_ner.none",0.799199470816272,0.816005251332076,0.807514931210061,0.759728059587098,0.698192845972676,0.727661828656956,0.795544501935895,0.797798885666024,0.796670098963951,0.777282286276989
"LiMixed_tok.whitespace_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.795504095825325,0.811923986497635,0.803630176504436,0.763430374556191,0.702787144667243,0.73185464782982,0.795150292717107,0.797554107875562,0.796350386297669,0.777278403543975
"LiMixed_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.798493321001714,0.814787935172387,0.806558337894328,0.759427110182898,0.697993828622761,0.727415699997931,0.795904423670442,0.797826374080996,0.796864239993244,0.776946092628501
"LiMixed_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.796379300974558,0.811044898365271,0.803645197682588,0.76005506426196,0.698537593373276,0.727999051197053,0.795748323526911,0.797173196982384,0.796460122977689,0.77603479061911
"LiMixed_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.796268460534535,0.811111358636447,0.803621378295799,0.760045697781549,0.698536848118632,0.727994349921123,0.795150292717107,0.797554107875562,0.796350386297669,0.775988704838197
"LiMixed_tok.whitespace_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.789770139620895,0.806082112754526,0.797842759927734,0.763406315597986,0.703579147248705,0.73227278406758,0.795748323526911,0.797173196982384,0.796460122977689,0.775525222324334
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.799308029803862,0.821314167486869,0.810161689950195,0.763140569038777,0.708090379970732,0.734585546702302,0.781708775364605,0.780971667788092,0.781340047731599,0.775362428128032
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.biosses_ner.none",0.799431205970657,0.82127802154271,0.810207368543743,0.763022032590097,0.707646768759792,0.734291875042572,0.781004971582543,0.780659075569872,0.780831985269617,0.775110409618644
"BlockDistance_tok.whitespace_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.798444493659795,0.818154108839087,0.80817915116088,0.73069356577587,0.682732165263414,0.705899134777162,0.79678253497807,0.801401528149675,0.799085356770145,0.771054547569396
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.default_ner.none",0.787867069940154,0.802997215578899,0.795360194036706,0.740469666169304,0.691091052308229,0.714928754596584,0.794983253329292,0.808811008978346,0.801837520382417,0.770708823005236
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.787595663556959,0.8038470245114,0.795638366891851,0.740142789302975,0.690621550615696,0.714525161920799,0.79356877768159,0.808394242073251,0.800912908295574,0.770358812369408
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0.806790772470366,0.813147854666457,0.80995684010387,0.768793233839536,0.706355292783458,0.736252872138688,0.774218370989313,0.753520399034195,0.763729175817793,0.769979629353451
