
SNOMED Id1;SNOMED Id1;Rada;AncSPLRada
410529002;362434006;-5.5;-7.0
142971000119102;275280004;-3.0;-3.5
32060007;39681007;-4.5;-5.5
17637004;349925003;-3.0;-4.0
214401007;777729008;-5.5;-6.0
278089007;55918008;-7.0;-7.5
438772002;713805008;-3.5;-3.5
360762005;161579008;-4.5;-6.0
432011000124107;426387005;-2.5;-4.0
88607004;10768005;-2.5;-2.5
87870003;297478004;-5.5;-6.0
368371000119102;700383002;-3.5;-4.5
250091004;249581000;-4.5;-5.0
370883005;66799000;-2.0;-2.0
773216008;229711004;-4.5;-4.5
774043001;430451000124102;-4.0;-7.5
132339009;35470007;-6.0;-6.0
709495007;450661000124102;-4.5;-4.5
244003009;438895001;-4.5;-4.5
737110003;441721000;-6.0;-6.5
715610007;387283005;-3.0;-3.5
74582001;717702001;-5.5;-6.5
289201000;398052002;-3.5;-4.0
296379004;15823005;-6.5;-8.0
707101005;463053004;-6.5;-7.0
388072009;17786006;-8.5;-8.5
363400004;731010009;-7.5;-7.5
429105007;199593009;-5.0;-5.5
314976006;19522003;-6.5;-6.5
713076009;62604006;-3.0;-3.0
731099006;30068005;-8.0;-8.0
89666000;63128003;-4.5;-5.0
122681003;702719002;-6.5;-6.5
90569008;356862006;-3.0;-3.0
25802000;401060006;-4.5;-5.0
774674000;159442007;-4.0;-4.0
54171004;172727008;-5.5;-5.5
422917007;705275007;-6.5;-7.0
13537008;162908006;-4.0;-4.0
45913009;11399002;-1.5;-2.5
729680008;262867002;-7.0;-8.0
365702009;290548009;-3.0;-3.0
105256009;188204000;-5.5;-5.5
268251006;53427000;-3.5;-4.5
29460005;409724008;-5.0;-5.5
304774008;167222005;-2.5;-2.5
7716001;337572003;-4.5;-5.0
237500008;701228000;-3.5;-3.5
371136004;228684001;-4.0;-4.0
303499003;76107001;-4.0;-5.0
162722001;59766003;-3.5;-4.5
92217007;361280008;-3.5;-5.5
40961004;262622007;-4.0;-4.0
205063003;301194006;-2.0;-2.5
266924008;39803005;-9.0;-11.0
35315008;241461002;-1.0;-1.0
376585004;408531002;-4.5;-4.5
387310003;417903005;-2.0;-3.0
16213251000119100;271677002;-4.0;-6.0
234604001;71943007;-2.0;-2.5
420906000;444947004;-4.0;-4.0
731428004;53298000;-5.5;-5.5
449616006;8363004;-1.5;-1.5
193253000;37498009;-7.5;-8.0
247142004;314580008;-6.0;-8.0
28660006;609233003;-5.0;-5.0
88450001;114037005;-6.5;-7.5
74944002;778671003;-3.5;-3.5
200100002;443110007;-3.0;-3.0
68083009;15973181000119106;-5.0;-5.0
66296008;285991000119100;-8.0;-8.0
68092007;92270001;-3.0;-3.5
8880009;428869006;-5.5;-5.5
360179007;363176004;-3.0;-3.0
89280003;126208003;-6.0;-6.5
31563000;424634000;-5.5;-6.5
3800009;730767001;-4.5;-6.5
720071002;736533002;-5.0;-5.5
236897002;775910007;-4.0;-5.5
463662003;189509003;-5.5;-6.5
279831006;415143003;-4.5;-4.5
22387007;448771000124104;-6.5;-7.0
311902006;735936005;-3.5;-4.5
404620005;386134007;-6.0;-6.5
448650009;276580005;-3.0;-4.0
412321006;216520005;-4.5;-4.5
56955001;70161007;-6.0;-6.5
103450004;315627005;-7.0;-7.0
430491002;700011003;-5.5;-6.0
719966004;707750005;-5.5;-7.5
299674000;60667009;-3.0;-4.0
271352005;359746009;-2.5;-2.5
226578002;185007003;-4.5;-4.5
462646003;281818006;-4.0;-4.0
398308000;411484004;-4.0;-4.0
227671007;261849007;-5.5;-5.5
133732006;232146005;-9.0;-9.0
273266008;51195001;-2.5;-2.5
231805004;32605001;-3.0;-3.0
5520004;777878009;-3.5;-6.0
135872007;3995008;-10.0;-10.0
369414006;112339000;-6.0;-6.5
88700009;467515003;-6.0;-6.0
32019000;306240005;-4.5;-5.5
130670004;82964000;-4.5;-4.5
87527008;125290006;-6.5;-6.5
184235000;128200000;-3.5;-3.5
377004000;285517001;-4.5;-4.5
52271005;366027003;-3.0;-3.0
67406007;130131009;-4.0;-4.0
265571002;313717008;-3.5;-5.5
303665006;64928005;-3.5;-4.5
736160000;20845005;-4.5;-4.5
41758004;245428003;-4.5;-6.5
93419003;9274004;-4.5;-4.5
307561009;280369009;-5.5;-7.5
275792000;29966009;-3.0;-5.0
767481008;386335003;-4.0;-4.0
444580004;727842001;-7.5;-9.5
291809007;250236003;-4.0;-4.0
272823000;15932461000119104;-7.5;-8.5
15705201000119109;274356009;-5.0;-5.5
417068000;237662005;-2.5;-5.0
361614002;767924006;-4.5;-6.5
283911008;427883005;-1.5;-3.0
202179006;771151001;-6.0;-6.5
66986005;30662005;-4.0;-4.5
369214008;408097009;-3.5;-4.0
55146009;425513008;-5.0;-5.0
708279000;37839007;-5.5;-6.5
104972000;247822006;-4.5;-5.5
362814001;32748003;-7.0;-9.0
714100009;413973005;-4.5;-4.5
423088003;469625008;-6.5;-7.0
785623009;1711000119101;-4.0;-4.0
410336000;447123001;-4.0;-4.5
22915003;87507007;-3.0;-3.5
73377002;228966000;-5.0;-5.0
283780007;410667008;-5.5;-6.0
399351005;92001006;-5.5;-5.5
177157003;230353003;-5.0;-5.0
77440008;24052000;-5.0;-6.5
237676006;309510008;-5.0;-6.5
214936002;89308006;-5.5;-6.0
419831006;429178005;-1.0;-3.5
119307008;441665004;-3.0;-3.0
414790002;782460005;-3.5;-3.5
104515002;446976003;-3.5;-3.5
121393001;334886004;-5.5;-5.5
43316005;368413007;-8.0;-9.0
407445008;73979006;-4.5;-4.5
202671008;5923009;-5.5;-7.0
7547005;311412005;-7.5;-9.0
326387006;50123005;-4.0;-4.0
702660003;278566009;-4.5;-4.5
423692006;302442001;-1.5;-3.0
70500001;65352000;-5.5;-5.5
303679003;21688008;-7.5;-7.5
239600008;295450001;-5.0;-5.0
280612002;699926007;-1.5;-3.0
446506005;90434008;-6.5;-8.5
446179009;10924001000119109;-5.5;-6.0
469598005;15396003;-3.5;-3.5
255290008;778780006;-2.5;-2.5
90997007;68646005;-5.0;-5.5
426003003;233305003;-6.0;-6.0
247301006;11994002;-6.0;-7.0
262902006;112048004;-3.5;-3.5
764312002;418670008;-3.0;-3.0
259593000;132091000;-10.0;-11.0
38261007;89453007;-4.5;-4.5
305528003;162720009;-4.5;-5.5
45803000;75261003;-6.0;-6.5
420398002;473066000;-4.5;-4.5
