
GO Id1;GO Id1;Rada;AncSPLRada
GO:0004013;GO:0052589;-3.0;-3.0
GO:0021971;GO:0006523;-4.5;-5.0
GO:0043579;GO:1901208;-4.5;-5.5
GO:0042749;GO:0000774;-4.5;-4.5
GO:0002305;GO:0008411;-6.5;-6.5
GO:0019689;GO:0033493;-2.0;-2.0
GO:0043548;GO:0005165;-1.0;-1.0
GO:0070448;GO:0008489;-2.5;-3.0
GO:0010850;GO:1903878;-3.5;-3.5
GO:0070769;GO:1904329;-5.0;-5.0
GO:0005198;GO:0015899;-3.0;-3.0
GO:0031421;GO:0050846;-3.5;-3.5
GO:0048742;GO:0018558;-5.5;-5.5
GO:0047739;GO:0039713;-4.0;-4.0
GO:0007320;GO:0001536;-2.5;-2.5
GO:0060665;GO:0048865;-2.5;-2.5
GO:0021668;GO:0051220;-3.0;-3.0
GO:0030560;GO:0045649;-6.5;-7.0
GO:2000522;GO:0042739;-3.5;-5.0
GO:0030220;GO:0008983;-4.0;-4.0
GO:0060478;GO:0047371;-3.5;-3.5
GO:0035077;GO:0031249;-4.5;-5.0
GO:0005484;GO:0043378;-5.5;-7.0
GO:0070369;GO:1990929;-3.5;-3.5
GO:0071629;GO:1903343;-3.5;-5.5
GO:0009855;GO:0045188;-3.5;-4.0
GO:0042956;GO:1900648;-4.5;-6.0
GO:0044377;GO:2000642;-6.5;-6.5
GO:0051211;GO:1900084;-3.5;-5.0
GO:0042812;GO:0034455;-3.0;-3.0
GO:0002207;GO:0001093;-5.0;-5.5
GO:0047589;GO:0015883;-5.0;-5.5
GO:1902197;GO:0034061;-4.5;-4.5
GO:0071338;GO:0004019;-5.0;-5.0
GO:0018618;GO:0050047;-3.0;-3.0
GO:0048053;GO:0008825;-7.0;-7.0
GO:0070476;GO:0014874;-3.0;-3.0
GO:0032104;GO:0019344;-3.5;-4.5
GO:0050197;GO:0080164;-4.5;-4.5
GO:0034068;GO:0004703;-2.0;-2.0
GO:0039591;GO:0042273;-4.5;-4.5
GO:1905457;GO:0032253;-4.0;-5.5
GO:0021521;GO:0043501;-3.5;-3.5
GO:0032989;GO:0016160;-4.0;-4.0
GO:0031418;GO:0031222;-5.0;-5.0
GO:0021975;GO:0102517;-7.5;-8.0
GO:0008425;GO:0030224;-6.5;-6.5
GO:0070934;GO:0046672;-3.0;-4.0
GO:0032562;GO:0035201;-4.5;-4.5
GO:1905062;GO:0032925;-2.0;-3.0
GO:0000466;GO:0003234;-5.0;-6.0
GO:0038137;GO:0022848;-6.0;-7.5
GO:0004782;GO:0006183;-5.0;-6.5
GO:0018660;GO:0032387;-5.0;-5.0
GO:0042702;GO:0004648;-3.5;-3.5
GO:0043056;GO:0071733;-3.0;-3.5
GO:0046692;GO:0006198;-3.5;-4.0
GO:0015592;GO:1901243;-2.0;-2.0
GO:0060727;GO:0016059;-2.0;-2.0
GO:0044486;GO:0072644;-3.5;-3.5
GO:0050612;GO:0042574;-4.0;-4.0
GO:0048400;GO:0002892;-2.5;-4.5
GO:0010779;GO:0046439;-4.0;-4.0
GO:0002789;GO:0097697;-6.0;-6.0
GO:0051311;GO:0102698;-4.0;-4.0
GO:0005362;GO:0008118;-4.0;-4.5
GO:0048038;GO:0017122;-3.5;-3.5
GO:0005550;GO:0032754;-4.5;-4.5
GO:0061731;GO:0018731;-3.0;-3.0
GO:2000858;GO:0010536;-4.0;-4.0
GO:0046409;GO:0010932;-4.5;-4.5
GO:0010071;GO:0010202;-2.5;-4.0
GO:0039621;GO:0060947;-4.5;-4.5
GO:0004787;GO:0080120;-6.0;-6.0
GO:0071062;GO:0034407;-5.0;-5.5
GO:1901125;GO:0033734;-3.5;-3.5
GO:1905647;GO:0102529;-5.0;-5.0
GO:0051127;GO:0007595;-3.0;-4.0
GO:0045691;GO:1902794;-2.5;-5.0
GO:0035805;GO:0097491;-3.5;-3.5
GO:0046823;GO:0090044;-3.0;-3.5
GO:0015736;GO:1900642;-4.5;-5.0
GO:0062141;GO:0047827;-3.5;-3.5
GO:1904895;GO:0090441;-2.5;-4.5
GO:0061562;GO:0006369;-4.5;-4.5
GO:0032724;GO:1901233;-3.0;-3.5
GO:1903569;GO:0031452;-2.5;-3.0
GO:0036427;GO:0071396;-6.0;-6.0
GO:0005249;GO:1905557;-6.0;-6.0
GO:0097500;GO:0008730;-5.5;-6.0
GO:0021611;GO:0019550;-3.5;-4.5
GO:0007252;GO:0060572;-3.5;-5.5
GO:0090380;GO:0019477;-2.0;-2.0
GO:0044656;GO:0009294;-2.5;-2.5
GO:0102102;GO:0033195;-4.5;-4.5
GO:1904334;GO:0021509;-2.0;-2.5
GO:0018916;GO:1902322;-3.0;-4.0
GO:0010773;GO:1990218;-5.0;-5.0
GO:0010279;GO:0072254;-6.0;-6.0
GO:0034193;GO:0097076;-4.0;-4.0
GO:0009600;GO:0051679;-3.5;-3.5
GO:1904285;GO:0044612;-4.0;-4.5
GO:0102465;GO:1900723;-6.0;-6.5
GO:0034655;GO:0042407;-3.5;-4.0
GO:1902520;GO:0019781;-4.5;-4.5
GO:0045373;GO:0001817;-0.5;-0.5
GO:0009200;GO:0090084;-4.5;-5.0
GO:0042758;GO:0050127;-5.5;-5.5
GO:0005677;GO:0090656;-3.5;-4.0
GO:0048890;GO:0044257;-4.0;-4.5
GO:0046754;GO:0051030;-4.0;-4.5
GO:0009404;GO:0047096;-3.5;-3.5
GO:0061186;GO:0003017;-3.5;-5.0
GO:0030566;GO:0102758;-4.5;-4.5
GO:0003874;GO:0051599;-4.0;-4.0
GO:0032611;GO:1905469;-3.5;-4.0
GO:0052855;GO:0006537;-4.5;-6.0
GO:0061889;GO:2000502;-2.5;-2.5
GO:0005369;GO:0046109;-6.5;-6.5
GO:0047100;GO:0051206;-5.5;-5.5
GO:0008523;GO:0044470;-4.5;-4.5
GO:2000446;GO:0050149;-5.5;-5.5
GO:0102691;GO:0140273;-4.5;-4.5
GO:0031099;GO:0099130;-3.0;-3.0
GO:0018110;GO:0009784;-1.0;-1.0
GO:0006666;GO:1990949;-2.5;-2.5
GO:0102934;GO:0061609;-3.0;-3.0
GO:0046967;GO:0061502;-0.5;-0.5
GO:0044632;GO:0035333;-4.5;-5.0
GO:0110070;GO:0015042;-4.5;-5.0
GO:0048734;GO:0010613;-3.5;-4.0
GO:0010773;GO:2000390;-5.0;-5.0
GO:0033084;GO:0070091;-3.5;-6.0
GO:0045870;GO:1905497;-3.5;-4.5
GO:1900154;GO:0003002;-1.5;-3.5
GO:0045114;GO:0033586;-3.0;-3.0
GO:0051274;GO:0047065;-6.0;-6.0
GO:0010725;GO:0051722;-4.0;-4.0
GO:1902759;GO:0006549;-2.0;-2.0
GO:0030522;GO:0002852;-2.0;-2.0
GO:1900666;GO:0075248;-2.5;-3.0
GO:0039016;GO:0061473;-6.0;-6.0
GO:1901986;GO:0003862;-4.5;-4.5
GO:1904095;GO:0004301;-5.0;-5.0
GO:0001616;GO:0045536;-6.0;-6.0
GO:0042174;GO:0002371;-3.0;-4.0
GO:0103055;GO:0099163;-4.5;-4.5
GO:0005451;GO:0071016;-5.5;-6.0
GO:0032031;GO:0008417;-4.5;-5.0
GO:0098972;GO:0048627;-3.5;-3.5
GO:0035353;GO:0048856;-2.0;-2.0
GO:1905336;GO:0002231;-4.0;-5.5
GO:0018181;GO:0038120;-5.0;-5.5
GO:0031291;GO:0010695;-2.5;-4.0
GO:0042008;GO:0010629;-4.0;-5.5
GO:0080153;GO:0043549;-1.5;-2.5
GO:1990482;GO:0000488;-7.0;-7.5
GO:0099086;GO:0060003;-3.5;-4.5
GO:0005109;GO:1990067;-5.0;-5.5
GO:0070630;GO:0034982;-2.5;-2.5
GO:0042094;GO:0031071;-5.0;-5.0
GO:0060625;GO:0046886;-2.0;-2.5
GO:0046831;GO:0014836;-3.0;-4.5
GO:0019615;GO:1990626;-4.0;-4.5
GO:0100002;GO:0051253;-2.0;-2.5
GO:0042626;GO:0140061;-3.5;-4.0
GO:0035144;GO:0044528;-4.5;-4.5
GO:0032271;GO:0060949;-3.0;-4.5
GO:0015374;GO:0090256;-5.5;-5.5
GO:0006578;GO:0060888;-3.5;-3.5
GO:2000128;GO:0140084;-3.5;-4.0
GO:1903638;GO:0010780;-4.5;-5.0
