
GO Id1;GO Id1;LeacockChodorow;AncSPLLeacockChodorow
GO:0009714;GO:1904254;0.9808292530117262;0.7801585575495751
GO:2001068;GO:0097526;0.6131044728864089;0.6131044728864089
GO:0080183;GO:0030859;0.8754687373538999;0.8754687373538999
GO:1902914;GO:1905485;0.7801585575495751;0.6131044728864089
GO:0051428;GO:0090650;0.6131044728864089;0.6131044728864089
GO:1900950;GO:0090223;0.8754687373538999;0.6931471805599453
GO:0051270;GO:0060659;1.2321436812926323;1.0986122886681098
GO:0009835;GO:0033000;0.7801585575495751;0.7801585575495751
GO:0043711;GO:0047879;0.6131044728864089;0.6131044728864089
GO:0031230;GO:0004632;0.7801585575495751;0.7801585575495751
GO:0051187;GO:1903396;0.7801585575495751;0.5389965007326869
GO:0044776;GO:0071155;2.0794415416798357;2.0794415416798357
GO:0099636;GO:0004739;0.6131044728864089;0.6131044728864089
