Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;Garla-Pearson;Garla-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman;Li2003Strategy9-Pearson;Li2003Strategy9-Spearman;Zhou-Pearson;Zhou-Spearman;Meng2014-Pearson;Meng2014-Spearman;Gao2015Strategy3-Pearson;Gao2015Strategy3-Spearman;CosineNormWeightedJiangConrath-Pearson;CosineNormWeightedJiangConrath-Spearman
CondProbHyponyms;0.6557476452645437;0.6267437564651988;0.67513339151049;0.6465675336190335;0.6584983716296967;0.6462154573666321;0.6469622698603009;0.6329259642382148;0.6868101589014295;0.6465675336190335;0.6873710361851474;0.6465675336190335;0.5002623893958802;0.6460174375646519;0.6748158427523056;0.6462154573666321;0.6752835794552047;0.652056672085119;0.6617865323037182;0.649141421604847;0.6096984841131965;0.6552552829909857;0.6723070536946218;0.645465124870696;0.6752028197380417;0.6451854588443919
CondProbUniform;0.5713085554202618;0.5617463425447022;0.6155525181803874;0.6325181025565243;0.5597072088973486;0.6004632776710507;0.568243780674196;0.5704307669572928;0.651558809921281;0.6325181025565243;0.6431926530129471;0.6325181025565243;0.49315640176557496;0.5972572779666026;0.5719342313251572;0.6002260972365894;0.6617137146345579;0.648238510418206;0.5636208001736066;0.6022362198906458;0.5504802245806758;0.6454913551056598;0.6535237816119558;0.6478321264962317;0.6232619760065724;0.6394569233042707
CondProbLeaves;0.6568664027270131;0.6289360130042855;0.6764954284441477;0.6477659967489287;0.6600528578727662;0.6476185902172307;0.6478213757803442;0.6362760455149993;0.6888153130888559;0.6477659967489287;0.6891343810587582;0.6477659967489287;0.11505518167399155;0.6476185902172307;0.6764432780778779;0.6476185902172307;0.6754962957685359;0.6534184276636619;0.6630633793974633;0.6508689227131668;0.6096094112673761;0.6552626717895671;0.6725064546494239;0.6461604108172011;0.6772562058581172;0.6484934239692626
CondProbCosine;0.6578906758138877;0.6274493867297177;0.6789322478069397;0.6478975173636767;0.6659516186978416;0.6523666321856066;0.6520854562110291;0.6387697650362052;0.6893493786437107;0.6478975173636767;0.6901767898029312;0.6478975173636767;0.4471408096290049;0.6519905423378158;0.6805393913608799;0.6523666321856066;0.6659509713929428;0.646745234224915;0.6675800992694272;0.6547628195655386;0.6144297052729076;0.6567574257425742;0.6597948045093976;0.6457780404906162;0.6735272719293753;0.6456923304270725
CondProbLogistic, K=8.0;0.6501386375668932;0.6241332939264075;0.6617866193648474;0.6459934239692626;0.6205665541930311;0.630191369883257;0.6289774133612245;0.6283619033545145;0.6809356168634896;0.6459934239692626;0.6795611424427289;0.6459934239692626;0.47832827923556814;0.6305630264518989;0.6380167281270998;0.630191369883257;0.6715819750246789;0.6497292005319935;0.6241502417358054;0.6325151470370918;0.5959256490275973;0.6538455002216639;0.6653194246859536;0.6423186049948278;0.6415643882765752;0.627183389980789
CondProbCorpus,ic-treebank-add1.dat;0.6638091510282067;0.6281601891532437;0.6603143779133464;0.6364027634106695;0.6284641158984452;0.6256154869218264;0.6325572112624689;0.6202209250775823;0.6807076324747829;0.6364027634106695;0.6779244996215716;0.6364027634106695;0.5162406330466165;0.6257957736072115;0.6425502113317678;0.6256154869218264;0.6727032358668638;0.6504935717452343;0.6339472327595123;0.6284320969410374;0.5938562599120328;0.6590945027338555;0.6727699804267016;0.6458057484852964;0.6525790215506543;0.6390409339441407
CondProbRefHyponyms;0.6604450992833707;0.6327179695581499;0.681744367222966;0.6494543372247672;0.6645834969760208;0.6510078321264963;0.6556758499885073;0.6423703265848972;0.6915392698347098;0.6494543372247672;0.6924428520469326;0.6494543372247672;0.5024546636174697;0.6510078321264963;0.6798242661937176;0.6510078321264963;0.6786902406302115;0.65300317718339;0.6675367655634731;0.6528129156199203;0.6178338132842074;0.6598104773163884;0.6762815320093193;0.6468320526082458;0.6752028197380417;0.6451854588443919
CondProbRefUniform;0.6532689485028307;0.6384494606177036;0.6926107449092485;0.6678598344909118;0.5963873249207439;0.6235931727501108;0.6422519718059614;0.6365715974582533;0.7137029630480686;0.6678598344909118;0.7109566099872316;0.6678598344909118;0.477957313716631;0.6235931727501108;0.6086403754867294;0.6235931727501108;0.6621468419607879;0.648643416580464;0.6001634717266284;0.6261984631298951;0.6027196312880317;0.6664869957144968;0.6617738062192854;0.6525461799911334;0.6232619760065724;0.6394569233042707
CondProbRefLeaves;0.6611829113263216;0.6344070489138466;0.6826946080451769;0.652576104625388;0.6658408603893601;0.655070932466381;0.6563317778545228;0.6429422195950938;0.6931317906936735;0.652576104625388;0.6938301385071152;0.652576104625388;0.5040099837007606;0.655070932466381;0.6813078061558595;0.655070932466381;0.679032096867473;0.6537989507906015;0.6685704938769389;0.6553243682577212;0.6176712467631708;0.6608648588739471;0.6763605076451481;0.646985739618738;0.6772562058581172;0.6484934239692626
CondProbRefCosine;0.6586225934539773;0.6318335303679622;0.6798173112662828;0.645885547509975;0.6613545474315972;0.6514755430766958;0.6550352719950466;0.6416041081720112;0.688417115260004;0.645885547509975;0.6898123833435238;0.645885547509975;0.49982063419977485;0.6514755430766958;0.6736310406418966;0.6514755430766958;0.6772224896870421;0.6531103147628196;0.6647297653895718;0.6536227279444362;0.6172407918208777;0.65984151027043;0.6762524658543263;0.6463395891827989;0.6590540823869832;0.6368479385251957
CondProbRefLogistic, K=8.0;0.65579649743067;0.6323448352297916;0.6734538589994322;0.6538285059849269;0.6542940014168566;0.6489906901137875;0.6488211607813423;0.6354935717452342;0.6926172492630668;0.6538285059849269;0.6906963729309512;0.6538285059849269;0.49044653678758876;0.6489906901137875;0.6695132025027414;0.6489906901137875;0.6856953335952005;0.6638861386138614;0.6570034704737501;0.6515309590660558;0.6148116426560145;0.6639415546032215;0.6794093792134788;0.6578132850598493;0.6640649565079544;0.6538672971774789
CondProbRefCorpus,ic-treebank-add1.dat;0.670699670258743;0.6340930249741392;0.6682140650901757;0.6435366484409635;0.6348087124085812;0.6283515590365006;0.641561269687035;0.6297081424560367;0.6864160171937608;0.6435366484409635;0.6842608721462355;0.6435366484409635;0.5150129073394117;0.6283515590365006;0.6484470800282051;0.6283515590365006;0.6775295469553618;0.6533600561548691;0.6398342668377278;0.6327811437860205;0.6024021140488173;0.6617057041525047;0.6772365541833415;0.650421161519137;0.6525790215506543;0.6390409339441407
CondProbRefCosineLeaves;0.6608414538381608;0.6314149549283287;0.6819216851563968;0.6485137431653614;0.6638085456700243;0.6536530220186197;0.656437352080374;0.6436611496970592;0.6917394907527621;0.6485137431653614;0.6927242633282974;0.6485137431653614;0.5036296476254665;0.6536530220186197;0.6771372985191837;0.6536530220186197;0.6775556675910588;0.6529233781587114;0.6669873678942551;0.65665213536279;0.6169030162414544;0.6597750110831979;0.6765522487615706;0.6462849120732969;0.6636808900757695;0.6418664105216492
CondProbRefLogisticLeaves;0.6565237756754423;0.6312379932023053;0.6741549922362898;0.655355031771834;0.653476410784603;0.6508681838333087;0.648765786761685;0.638019801980198;0.6943473317765585;0.655355031771834;0.6921370270108114;0.655355031771834;0.49202758585729917;0.6508681838333087;0.6688381943992844;0.6508681838333087;0.6857888268538052;0.6650011083197872;0.6561303065889126;0.6523873208216344;0.6140047997280813;0.6638447613418058;0.6792756397967639;0.6589275158859169;0.6642668425419247;0.6558223732821044
CondProbRefLeavesSubsumersRatio;0.6727383310073204;0.6423895374612087;0.6876568471285434;0.6557562435348012;0.6663870147184332;0.6539567016403133;0.6603091647359347;0.6473529629082311;0.6977037116901701;0.6557562435348012;0.6984149956235697;0.6557562435348012;0.49489228003463653;0.6539567016403133;0.6756751052283354;0.6539567016403133;0.6786076021289504;0.6539156938081868;0.6682696081223897;0.6541325550465494;0.6191320532315108;0.6590413033840697;0.6767424968237765;0.649414437712428;0.6708505613292861;0.6474833752031919
