Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;Garla-Pearson;Garla-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman;Li2003Strategy9-Pearson;Li2003Strategy9-Spearman;Zhou-Pearson;Zhou-Spearman;Meng2014-Pearson;Meng2014-Spearman;Gao2015Strategy3-Pearson;Gao2015Strategy3-Spearman;CosineNormWeightedJiangConrath-Pearson;CosineNormWeightedJiangConrath-Spearman
CondProbHyponyms;0.8282921817758568;0.7561188811188811;0.8587097806476169;0.7887565559440559;0.8561807460305504;0.8016717657342658;0.8285591650892674;0.794110576923077;0.8555971645559847;0.7887565559440559;0.8585447463874701;0.7887565559440559;0.7033099129059722;0.8016717657342658;0.8658209648098654;0.8016717657342658;0.860605043969739;0.7826158216783217;0.8586215023084152;0.8052338286713286;0.842572497160835;0.8154392482517483;0.8664537287887039;0.7959134615384615;0.8645313224042745;0.8070913461538461
CondProbUniform;0.6843940204722703;0.7003168706293706;0.795762176540846;0.778638548951049;0.7227750363726696;0.7612652972027972;0.6840133928128094;0.6929960664335664;0.8424529278094861;0.778638548951049;0.8323436811899922;0.778638548951049;0.6721211675101356;0.7612652972027972;0.7472678529261909;0.7612652972027972;0.8548987164043207;0.7887565559440559;0.7277018478321025;0.7638002622377622;0.7520054409494048;0.7927556818181818;0.8569434002902188;0.7880026223776224;0.8330994311520644;0.8145869755244756
CondProbLeaves;0.827175107644664;0.7549388111888111;0.8575277720940063;0.7867679195804196;0.8535363965204875;0.7876857517482517;0.8263012943798385;0.78475743006993;0.8550033370222462;0.7867679195804196;0.8577689860153181;0.7867679195804196;0.7009257702854002;0.7876857517482517;0.8634832780478829;0.7876857517482517;0.8605228486520832;0.7824628496503496;0.8559561134501736;0.7950721153846154;0.8418153199989103;0.8142591783216784;0.8661795798774902;0.7964597902097902;0.8624664331292544;0.8080856643356643
CondProbCosine;0.8294278867553692;0.7710336538461539;0.8590649873091792;0.7896306818181819;0.8539502801197586;0.7834899475524475;0.8265255036364012;0.7829654720279721;0.8550254379841365;0.7896306818181819;0.8580773061095638;0.7896306818181819;0.6608658644987576;0.7834899475524475;0.8633900174799792;0.7834899475524475;0.8573985373840559;0.7873579545454545;0.8555217565289972;0.7881883741258742;0.8456400099203836;0.8173623251748252;0.8657789114185308;0.8115930944055945;0.8623580093708473;0.8037478146853148
CondProbLogistic, K=8.0;0.8020878266463275;0.7833369755244756;0.8681142124690923;0.7966018356643356;0.8260172094404162;0.7993116258741259;0.8146541338091342;0.7791848776223776;0.8651950104184485;0.7966018356643356;0.8692118781913242;0.7966018356643356;0.6898799223188272;0.7993116258741259;0.8500608841817983;0.7993116258741259;0.8605312697350815;0.7899147727272727;0.830044962144797;0.8003387237762238;0.8363410600790697;0.8145432692307693;0.8655549697388086;0.798361013986014;0.8594960404206495;0.7976617132867133
CondProbCorpus,ic-treebank-add1.dat;0.8296432456352459;0.7702469405594405;0.8559977534550375;0.7651660839160839;0.8527194714427242;0.772159090909091;0.8223236760669166;0.7515187937062937;0.8574851172276086;0.7651660839160839;0.8591202401709517;0.7651660839160839;0.7274914278802076;0.772159090909091;0.8633389653372884;0.772159090909091;0.8617595932054529;0.7867679195804196;0.8551944567130483;0.7786166958041958;0.8404519875614287;0.8207714160839161;0.8705868608709344;0.8147727272727272;0.8682378360465184;0.7833041958041957
CondProbRefHyponyms;0.8242017367465021;0.7650786713286714;0.85470519698815;0.7785948426573427;0.8496741677018179;0.7765406468531468;0.8255800076423027;0.7791193181818181;0.8514236542400048;0.7785948426573427;0.8543228978384729;0.7785948426573427;0.7000762861932074;0.7765406468531468;0.8609956238972406;0.7765406468531468;0.861508958121059;0.7881774475524476;0.852661709108988;0.7812172202797203;0.846338675109742;0.8142154720279721;0.8648228938867648;0.8018465909090909;0.8645313224042745;0.8070913461538461
CondProbRefUniform;0.7252504875182145;0.727305506993007;0.8540310769334403;0.777305506993007;0.7484008237016365;0.7475196678321678;0.7453280325238597;0.721951486013986;0.8650559473686781;0.777305506993007;0.8651634150688372;0.777305506993007;0.6809706599225367;0.7475196678321678;0.770318084213922;0.7475196678321678;0.8551354696457402;0.7826486013986014;0.7529654798161225;0.752611451048951;0.8103027513690018;0.8038570804195804;0.8615205372913474;0.7841018356643357;0.8330994311520644;0.8145869755244756
CondProbRefLeaves;0.8229568522876951;0.7627185314685314;0.8533264051665527;0.7803649475524476;0.8468808832050134;0.7760380244755245;0.8230980585830243;0.7778518356643357;0.8508210672154009;0.7803649475524476;0.8535167786248703;0.7803649475524476;0.6979848455530042;0.7760380244755245;0.8587188114250387;0.7760380244755245;0.8613600980756972;0.7875;0.8498728165758276;0.786090472027972;0.8453743165123272;0.8125109265734266;0.8643893362293742;0.7879916958041958;0.8624664331292544;0.8080856643356643
CondProbRefCosine;0.8230573401984438;0.7606206293706294;0.8573053776627917;0.7892810314685315;0.8506227875155539;0.7835336538461538;0.8251877914780423;0.779381555944056;0.853245082406624;0.7892810314685315;0.8562902656818708;0.7892810314685315;0.7114967027692001;0.7835336538461538;0.860879659713849;0.7835336538461538;0.8616696588348711;0.7911057692307693;0.8539283769373134;0.7878387237762238;0.8466853665322683;0.8196787587412587;0.8662765051890845;0.7995629370629371;0.8620897273633473;0.8137347027972028
CondProbRefLogistic, K=8.0;0.799139730722537;0.7348011363636364;0.8440308574575127;0.7403955419580419;0.842102167196245;0.7645432692307692;0.8125191766539923;0.7320476398601399;0.8536221876062625;0.7403955419580419;0.8534981721248329;0.7403955419580419;0.7173261885037372;0.7645432692307692;0.8596678405637121;0.7645432692307692;0.8502001665561495;0.7570367132867133;0.8453504899392926;0.7756446678321678;0.8354922037650507;0.7782233391608392;0.8444336180833139;0.7491695804195804;0.86477614099437;0.8043815559440559
CondProbRefCorpus,ic-treebank-add1.dat;0.8264167072598554;0.761166958041958;0.85276139840611;0.7634833916083916;0.8484015798799346;0.7579545454545454;0.8210015841293068;0.7481971153846154;0.8531938788321086;0.7634833916083916;0.8549814408654532;0.7634833916083916;0.721707815291999;0.7579545454545454;0.8587841992827212;0.7579545454545454;0.8626520014723804;0.7896634615384616;0.851150976600668;0.7648710664335664;0.8448483142571109;0.8131009615384616;0.8684164474616914;0.802076048951049;0.8682378360465184;0.7833041958041957
CondProbRefCosineLeaves;0.8220686777786894;0.7600087412587413;0.8546412076562827;0.7795782342657342;0.8457485804791218;0.7751638986013986;0.8210327410164557;0.7753168706293706;0.8516785648622741;0.7795782342657342;0.854416158447683;0.7795782342657342;0.7043557741241001;0.7751638986013986;0.856791610600584;0.7751638986013986;0.8613318868776968;0.7920454545454545;0.8491412226093462;0.7824847027972028;0.8451406338600062;0.8157888986013986;0.8655651461020366;0.801333041958042;0.8587006238011776;0.8060861013986014
CondProbRefLogisticLeaves;0.7991377929627453;0.7346918706293706;0.8429558674656356;0.7406796328671328;0.8426646112560271;0.7732408216783216;0.8119702423530307;0.7351398601398602;0.8535005236306361;0.7406796328671328;0.8531517642201004;0.7406796328671328;0.7135269177467299;0.7732408216783216;0.8598661899677821;0.7732408216783216;0.8495461150510388;0.7587194055944055;0.8457713628502442;0.7784637237762237;0.8335624821262158;0.7772180944055944;0.8437845064370315;0.748513986013986;0.8652689879133338;0.8112434440559441
CondProbRefLeavesSubsumersRatio;0.8232263614168408;0.7640515734265734;0.8564189522378175;0.7727600524475524;0.8542643095966781;0.7809549825174825;0.8292346795305664;0.7723776223776224;0.8535489002695417;0.7727600524475524;0.8563898657937266;0.7727600524475524;0.6849920968624489;0.7809549825174825;0.862116222585129;0.7809549825174825;0.8613953751127167;0.787652972027972;0.8559541132827403;0.7867242132867133;0.8459444693323402;0.8090362762237762;0.8648942248224969;0.7965253496503497;0.8682363074123653;0.8129479895104895
